gene study_attention
HTR1E 8
WNT2 2
CAV1 87
SMTNL2 19
GLB1 38
CYSLTR1 1
USH2A 3
SLC6A13 1
CEP76 104
HOXB7 5
CCND3 32
EIF4H 17
USP4 56
KLKB1 6
IDH2 18
EPS8L1 8
OGA 26
TNNI1 39
DYNLT2B 25
B3GNT9 2
PARP1 111
LUM 8
H2AJ 2
MAN1C1 2
FASLG 75
MAN1A2 19
ELOF1 6
CNMD 6
KIF25 1
TPPP3 1
HEYL 20
SPANXB1 5
ATG12 55
NUDCD2 35
POTEE 25
PAQR7 3
EPDR1 24
CDIN1 4
GOLGA4 30
MEGF8 7
EPX 4
COX7B 3
ALOX12 5
SLC35F6 31
NDUFB11 55
PHYHIP 31
ABHD14A 19
INCA1 231
THY1 8
ATP6AP2 113
OPALIN 1
PRPF4B 48
BCL7C 62
DOK2 31
LHX4 58
CLCA2 2
CRKL 74
DEFB124 2
CTAG1B 76
RNF186 4
NBPF11 1
SLCO6A1 12
RSC1A1 3
ACTN2 79
MDM1 6
BTBD3 13
COL24A1 1
PI4K2B 22
THOC2 75
CDC34 15
HPSE 19
VAMP8 25
LDHAL6A 8
CEP70 236
FNBP1 18
ANGPTL2 2
GJB2 48
ZNF397 34
BABAM2 31
YKT6 28
ERFE 2
LDLRAP1 19
ALMS1 38
PNPLA5 8
TAF6 20
SPATA1 24
PCDH8 3
SCGB3A1 8
CDC42 163
BSG 106
RAB11FIP4 15
PPHLN1 46
TTC33 17
SDCBP 325
CYP51A1 14
MYO1F 9
BCAS4 13
SPEM1 2
TRAPPC9 27
LARP1 77
DUOX1 1
POTEI 31
ST14 10
DNAAF2 68
ENTPD1 1
CTSD 19
TUBGCP4 49
KCNK12 1
SLC16A7 17
KRT77 22
UBE2V1 41
PCNX2 4
NAIF1 4
SSMEM1 108
ARHGEF12 14
COL2A1 11
PLD6 12
CLIP2 8
TCF25 22
PLEKHH3 7
RAB2A 67
ALK 8
ERG 12
CNNM2 4
ZNF850 1
RCVRN 5
ERCC6L 23
IPO5 49
TMX3 11
ADARB2 4
PCP2 10
ME1 12
TSPO2 55
INHA 5
C1orf56 5
YME1L1 31
ASNSD1 4
NCOR2 45
CEP152 103
C4A 23
KYAT1 6
TARBP2 42
WASHC5 20
MPP7 18
ESF1 19
NELL1 35
ANKS1B 16
AXIN1 98
OTX1 129
NYX 9
CAPN15 14
EIF4E2 67
GPATCH2L 54
TRIM29 52
ADAM9 24
CENPB 55
TDP1 6
KRTAP5-1 9
SLC10A2 11
CFHR1 13
FRG1 15
APLN 1
TREML1 2
IP6K3 29
CEBPE 2
ANXA13 6
NFYC 53
QRICH1 67
S100A2 16
CCDC120 142
KRTAP10-11 35
SLC22A1 2
PNPLA3 2
KRT9 35
GAB2 15
SYT7 3
BRD9 8
TRAF3IP2 13
CLIC5 5
TMEM220 7
APBB2 27
MED13 26
HTR2A 18
TNFSF14 21
SKIV2L 17
SACS 15
RMND5B 24
RAPH1 10
CACNA1S 6
NR2F6 24
BAG2 141
PDCD7 16
NMRK1 4
SRM 10
HES7 5
FUNDC1 15
CYB5R3 89
PAX2 18
DFFA 23
SIRT2 47
SMG1 33
UROS 6
RAB3C 6
LRRC39 16
TUSC3 19
NPY1R 4
CDA 27
TCEA2 123
WNT7B 3
ZBTB12 4
DLK2 28
UCK1 7
RMDN3 40
WDR7 3
CLIC3 31
CHPT1 33
NHSL1 6
ASF1A 42
HBM 22
BSDC1 7
ESRRA 12
THAP8 9
HSD17B14 25
CTDSP2 28
CAPRIN1 31
NRDC 39
RAB35 31
LY96 5
THUMPD3 23
CFAP91 6
KIF3C 10
ASCL1 5
XAGE3 17
PRMT2 48
F2 4
RBMXL1 18
TNFAIP8 13
HNF1A 14
RIPPLY2 16
NDUFA3 30
DMD 36
COL4A5 43
GSTM5 11
PIP4K2B 33
INSIG1 9
TRIM6 1
CLPTM1 14
CTPS2 11
UNC119B 6
CRYGC 7
CRACR2B 13
AKAP11 28
SPG7 41
SMIM24 1
CCDC189 1
BTC 6
CLCN1 4
BANP 221
IDH3A 15
PCNP 11
ARHGAP6 1
SULF1 5
CADM4 5
LTN1 56
CDK4 93
CTNNA1 74
FA2H 28
RNF157 1
SEMA3G 1
ALOXE3 19
PRDM2 3
ANXA7 113
ZDHHC17 223
ZNF491 17
IFNW1 1
TFPT 46
CAPN3 31
MCMBP 42
IL17F 1
DMPK 12
C10orf62 9
HLA-DMB 3
ARHGAP26 4
PDE2A 3
BTN3A3 4
CCL4 22
PDK1 253
TBX22 10
RUSC1 95
FHL3 155
GPR162 2
INTS10 14
CDX4 8
FSTL3 2
ENDOU 2
NDST2 11
FCGR3A 3
PCDHGA9 3
GALNT12 31
METTL7B 4
WDR4 14
RPS6 310
DYRK1B 55
FHOD1 30
SH2B2 21
CBWD1 55
FUCA2 28
GDF3 3
MPC2 27
VDAC3 33
SYNPO2 3
FAM118A 16
RBP4 12
AK7 4
TMEM200C 1
TMEM38A 6
EXOSC2 43
SOCS3 20
ACTRT1 4
SERPINA5 13
MYBPC3 18
OTULINL 10
UQCR11 1
DZIP1 14
P2RY14 1
EFR3A 22
GJC3 2
DCANP1 3
CTSW 1
TFPI 1
LCP1 12
PPP2R2B 180
CFD 2
MST1R 9
ERICH3 2
CCL27 4
PRMT3 19
CPS1 32
KRT25 21
SYNJ2 13
PPRC1 7
SPTLC3 4
PTGDR 2
VASH2 5
RUFY3 16
LRP10 46
PIP5K1C 5
ZDHHC22 14
MRPL42 56
SGSM1 3
COMMD9 17
ATP2B3 25
TRIOBP 37
VPREB1 1
SGCD 7
FBXO15 3
COL8A1 62
CFAP46 4
RUFY4 5
SPACA4 6
STRADB 13
HACL1 9
BBS7 64
TRARG1 6
SH3YL1 6
EIF3H 73
MACO1 38
TMEM33 31
GBP1 11
REG1B 3
TXNDC2 2
IMP3 26
CRH 9
DYNC1I2 27
SF3A3 50
ARID1B 32
SLBP 12
MTUS1 22
PPP1R3A 1
GALR2 1
PDCD1 51
MLLT3 44
WAS 39
HOXD8 7
LGALS3 109
EPN2 43
DLGAP5 14
SFRP1 6
CSNK1A1L 13
DCUN1D5 18
POU4F2 68
YY2 3
UNC50 32
MCRS1 149
ALG2 3
SOX15 2
IVD 16
ATP5MC2 2
NANP 4
TPRN 23
CCDC8 11
RBM39 84
CHRNB1 2
MFF 110
IRF9 12
OGFOD3 7
SLC30A4 25
AMIGO3 12
THEMIS2 3
PTGER4 43
HEPN1 1
PRR23B 6
GTSF1L 2
FBXO21 13
PKN2 64
BANF2 18
AZIN1 10
SLC7A5 20
CCM2 16
PDCD6IP 55
EMB 12
PRR14L 9
TCEAL7 1
PAM 12
COX14 141
TBC1D3C 1
IFNGR2 33
AMER1 23
RAB4A 23
TMEM176A 11
SPRR2G 1
SPINT1 21
IL4R 27
PEX6 12
NUP160 33
CEP104 73
ATG4B 21
GSKIP 3
GLRA1 2
RAP2A 21
TESK1 3
CHKA 1
PLAC8 1
PBX4 60
TM4SF4 22
SLC43A1 4
MAT2A 28
RABL3 28
TTC32 9
TM4SF18 39
MDN1 34
NAPSA 7
PLCD3 15
SEMA6D 1
DUSP9 9
CRIPT 9
BCL2A1 8
KLF12 7
TSNAX 1
PUM2 16
SLC34A2 30
MORC4 7
KANK2 211
VHLL 4
HEPACAM2 24
HRK 3
RAI1 15
DSN1 45
SMOC1 25
FARP2 18
PAPOLG 2
EPHA6 3
AGTRAP 132
NUP153 83
NKX6-1 1
TEX45 18
NDUFA1 7
FERMT3 33
WDR75 21
ADCK1 33
ABAT 5
EIF4E 45
PRDX5 25
MED29 93
PCDHA12 32
ACTG1 88
DENND2D 22
ALG8 33
FGF11 4
CNTNAP3 32
CNTN4 4
ZBTB40 8
LCORL 3
MRPS10 33
ZNF586 3
VSIR 28
RETREG2 26
COX20 29
GNG4 14
SH3RF3 7
SEMA3E 1
VPS29 28
PRMT1 103
GCSH 11
NMU 21
ZNF2 72
NAV1 26
PLAAT2 6
DAZAP1 23
SOGA1 28
TMEM14A 29
TFEC 5
CD300C 8
SHMT1 20
SLC25A35 5
CALML6 1
DMRTB1 19
CYP2A6 2
CASP4 37
AADAT 1
CST5 7
OTUD7B 24
PHF1 72
CCDC60 7
RERE 30
YPEL1 6
LCLAT1 23
ITCH 49
ILF3 87
CT55 43
DENND2C 7
PSMD14 71
HEMK1 24
FAM43A 9
MEIS1 18
OR4C12 1
C9 3
CLDN14 4
CDK13 42
METTL16 2
NUDT22 22
PSMA3 97
BTF3L4 8
PIGA 22
RPGRIP1 57
ANKRD44 19
KATNBL1 51
HPN 3
GPT 2
PGM3 4
FAM131B 29
MTMR14 13
ATP12A 50
PNISR 12
RNF185 41
CEACAM5 6
SLC15A1 64
CBY2 123
TUBGCP5 26
LRRC37B 1
ATP1A1 63
UBL4A 42
FIG4 4
MRPL20 37
HPX 9
DCAF10 32
TLE5 345
COPS8 42
RPS2 116
ASB12 9
STK25 49
PTPRB 7
KPRP 120
PLAAT4 2
STMN2 19
PCF11 10
ATP5F1D 53
CATIP 16
CYFIP1 43
ATXN1L 27
PDE4B 6
MOAP1 18
C12orf45 6
TRIM52 3
TBC1D10A 9
KREMEN1 2
KLHL6 12
PPL 57
MYL5 2
DLGAP3 19
TIMM17B 15
ZNF253 2
MARCHF10 5
TTLL2 1
NFKBIE 51
EXTL1 6
ARSL 4
TRIM9 41
FAM71F2 2
DHDDS 2
CZIB 5
MIDEAS 33
SDF2L1 28
POLRMT 35
PLAC9 3
ARHGAP33 4
TOMM22 146
POLR1G 17
C4B 3
COL20A1 10
FANCF 9
C5orf51 3
KIAA0232 30
CCT6A 161
KCNH8 1
TNFAIP2 4
RNF128 6
CSH1 11
PPP1CC 243
SSX2 27
BSCL2 26
BORCS6 79
PLXNB3 10
RAE1 50
SRP72 40
PRSS16 1
TNPO1 36
CAPZB 66
SIRT4 110
C2orf16 1
SETD4 8
GALK2 8
CHFR 21
HILPDA 3
TRIM47 7
NKIRAS2 12
EFNA3 5
CREB5 128
PDIA2 10
CTNNBL1 45
OLIG1 20
SIAH3 1
LANCL1 27
DNA2 20
FSTL5 2
TSPAN18 1
GPR137B 8
HABP2 2
AKAIN1 1
MAPK13 87
KRTAP19-3 17
PELI3 5
WDR12 14
SCNM1 170
CACNG2 12
AMDHD1 1
GPD2 18
NPAS1 15
LKAAEAR1 1
PSIP1 19
TSSK2 6
SGCZ 12
PBXIP1 40
TRIM4 9
PAFAH1B3 39
NKAPL 8
RBM46 3
PKNOX1 21
EIF3L 48
TRMT10B 31
ZNF285 3
TGFB1 82
AIP 34
CRNKL1 39
USP9X 45
HOXB6 9
DNAJC7 104
LAMA2 4
CAPNS2 21
LHFPL5 121
SESN3 5
ITGA3 13
SNUPN 19
PRRG4 2
TNFSF8 38
COX18 1
MICOS13 31
GABPB1 24
EIF2AK1 8
KRT24 46
CEACAM1 9
ATG101 43
AOC2 5
MYH1 22
WNT2B 1
IL25 1
HSD17B4 30
NEURL1 2
GPN2 7
MFSD1 1
USP44 11
KRT8 44
UBXN8 13
STXBP6 13
PSMA8 6
GDA 5
SMYD5 4
CEP78 10
PNKP 57
ASB13 19
CDHR1 1
DPAGT1 7
PRAMEF5 2
SPC25 30
ZNF843 10
FLOT2 47
LONRF2 11
DHRS13 4
ZPR1 7
SLC4A8 29
KRTAP9-8 75
SCN3A 3
BICC1 2
SLC22A23 22
SGSM3 5
TFCP2L1 1
GRK6 17
FMR1 275
FBXO30 13
RAB7B 6
MEFV 5
CGA 2
KIAA1191 21
HMCES 8
POTEF 61
LGALS4 16
DLK1 41
TNNC2 6
CA13 2
FLT1 22
EHF 5
MRPL55 27
FZD1 5
HAUS5 41
ACSF3 17
NEDD4L 40
MINAR1 7
PSMC5 116
PLEKHN1 39
RPGR 38
PI4KB 21
PSMB5 47
CCS 4
H6PD 3
B3GNT4 2
ANKRD13A 18
BIN3 26
FUT3 20
ARHGEF17 15
KRT72 24
PDE5A 5
PCBP1 104
SRL 4
VPS33A 15
CST1 39
DDX47 35
CLSPN 16
TPST2 10
S100PBP 2
SARS1 16
TYMS 12
KIF17 3
SECISBP2L 6
ZNF207 18
ISL1 12
CHRND 52
FAHD2A 6
CDC42BPA 25
PEX11G 5
GNB5 30
PTN 89
LIMA1 179
SEMA4A 1
ATP8B2 14
ACVR1B 8
CLIC6 1
TRAPPC2 31
FAM217A 2
PDCD6 51
C2orf50 2
HAAO 4
SI 1
NVL 33
NIPA1 3
TXNRD2 7
SLC25A44 3
CEBPA 19
FAM32A 4
PCYOX1L 6
SREK1 28
SYNC 41
CLEC3A 41
KCTD6 35
PLCH1 13
LSM1 30
TSPYL5 2
ADAMTSL5 7
FAT2 1
POU2F3 1
CAVIN1 69
MICALL1 25
MAPK1IP1L 25
FZD2 13
HABP4 15
E2F4 21
TIMM10 12
RPL31 50
C9orf24 31
CLTA 64
MTHFSD 3
SORL1 51
KDM3A 7
TTYH2 5
HLA-DRB5 5
PCDHGB3 3
TNK2 38
DKK1 10
GTF2H5 23
SLITRK5 6
YEATS4 86
CDC37 353
NSUN3 6
ADI1 4
CYP2E1 2
EIF1AY 8
WWOX 130
PPP2R1A 208
PAX7 13
ACBD4 7
MAP2K7 31
TIA1 25
AMPD2 21
CDC42BPG 6
PHOSPHO2 10
MAP1LC3A 386
TOX4 35
LGALS12 3
GABARAP 481
EIF4G3 28
RAB11B 51
RHBG 3
MBD5 16
SF3B3 75
POLR3A 29
INO80 21
CBY1 38
LEO1 30
MYO1E 30
SESTD1 21
ESPL1 25
FAM20C 13
PLEC 67
ZNF18 10
LRFN4 63
MED18 48
SLC30A8 74
TRIM25 30
CCDC47 34
IQCH 1
ALDH1A1 3
IL23R 4
SBDS 12
ALKBH8 13
ZNF793 1
OTX2 34
ZNF665 1
FMO2 1
VAV2 59
APOE 48
RNF122 5
B3GALT5 2
WNK3 4
UBE2G1 1
MALSU1 45
DUSP18 14
SLC35A1 34
GAK 89
SELENOT 11
IGFL3 1
MRFAP1L1 46
PSG9 19
ALDH5A1 13
ADRA1D 27
TRIM46 12
IPO4 40
CDRT15 5
TIMM17A 5
PYCARD 51
LCMT1 5
KDF1 3
RHOV 1
OPN3 4
HEPH 1
ZNF133 22
NUP37 12
CCDC27 6
ZNF664 9
LYSMD3 2
PEA15 13
RTEL1 27
NPEPPS 23
PGAP2 32
TSPAN4 38
MGAT5 13
LARS1 42
BNIP3L 31
MCM5 66
SPARCL1 9
MAP7D1 45
DDX5 132
CIAO3 7
BICD2 54
CENPC 29
RXFP3 8
LY6G6F 2
POLR3C 47
LIPG 21
DOCK4 13
BRMS1L 26
TBXAS1 1
IST1 24
MCM10 40
PLA2G4F 1
TBXA2R 16
ZPBP2 9
ANTXR2 6
SCPEP1 3
KCNG4 3
LPCAT2 9
PPP2R5C 20
PLEKHM2 5
CCDC172 25
PDE8A 2
LIPH 24
CCL19 2
NTMT1 10
RIC3 29
GBP3 3
IBTK 46
FN3K 1
ALPG 8
INSC 12
RELCH 6
SMPDL3B 6
PDXP 3
PAPSS1 20
EAF2 23
AP1AR 4
AP2M1 152
NKX2-3 1
FCRL1 1
SLC29A2 18
MRC2 28
ZXDC 16
ZP3 20
MYCT1 4
CHRNA7 8
CCDC89 15
S100A4 37
PGRMC1 59
POLDIP2 58
ATG13 21
RBMXL2 22
ACBD7 13
STAC 22
IFIT3 59
MFHAS1 90
FKBP9 15
PRTG 2
PEG10 23
ADIRF 4
PCYT1B 5
YJU2 49
TBC1D4 44
CD320 22
MYB 29
DCHS2 1
DPY19L4 13
MYO9B 22
ZNF561 2
PPP1R3G 1
CCDC13 58
LRRC8C 6
ANXA9 4
LEPROTL1 78
TACC2 12
GGT6 8
REX1BD 13
MEX3B 8
MLF2 91
SLC32A1 5
IER3 16
ADRA2B 5
MTRF1 2
SPRY4 23
ZNF683 5
OSBPL1A 14
ZBTB49 10
THEG 2
PEX11B 7
UIMC1 49
GALNT3 5
CDK11A 39
DHRS11 1
KCNJ16 1
TAX1BP3 4
MTF2 29
CXCL8 5
IFNA4 10
TNFRSF11B 2
RPTOR 54
CDC5L 614
TMEM130 10
SLC25A26 1
HOXD3 4
PNMA8A 4
GFUS 4
ANKMY2 17
STK33 2
EPYC 2
ZBTB7C 3
LMBR1L 4
KCNC1 3
MED10 75
AGGF1 28
NCF2 16
SLC38A5 3
CD177 98
NDUFV1 54
KIR2DS4 3
MRAP 8
SH3KBP1 78
SCAPER 7
CEACAM7 2
COX11 10
LELP1 13
GNL3L 36
SYT2 26
TP53I3 4
STK31 1
FGFR1 47
CGAS 9
CEACAM21 33
BEX4 2
TMEM71 5
TIMM13 67
NCK1 206
MICAL1 19
MPZL2 1
MARCHF3 10
PSD 7
SERPINA3 13
GFRA1 2
CEP192 45
ZNF780B 1
NSMCE3 10
DACT2 1
AAMP 15
PDZD3 6
JUP 76
LSM14A 8
APH1A 24
TDRD1 3
AICDA 30
SLC9A2 1
LMO2 207
BTG3 11
MYRIP 8
TEX11 57
URB2 19
MZT2B 28
MSMO1 20
SART1 36
TERF2 51
ACADSB 15
SCRN3 5
RTN4RL2 3
YIPF2 23
WDR18 31
SETD2 20
ZNF621 5
GALNT11 15
HEXB 7
NSMCE1 17
COX6B1 51
PDCD2L 23
PLAUR 63
MCM8 20
SLC35E1 20
GTF2F1 44
FBL 285
CHCHD1 14
ALPI 21
PITPNM1 5
C9orf16 13
AFM 19
MRPL17 28
SZRD1 2
USP45 23
IL10RA 25
FKBP8 81
RPL13 96
CCDC65 5
DNAH3 2
DENND11 5
ATP4B 3
SLC1A3 11
CBX5 151
TM2D2 14
CYP1A2 5
TMEM47 4
DCDC2B 18
SEC31B 12
ERCC4 19
GPAM 11
IQCC 4
MTFMT 4
STOML1 5
SSR1 43
CEP57L1 80
PEAK1 27
PRRT1 3
NQO2 11
VWA5B2 2
ANXA4 9
PLN 56
ZEB1 5
SLC23A1 22
AOAH 1
USP9Y 8
PRKAG1 53
CCN5 5
NRF1 43
ZNF114 17
TMED6 33
FSHR 18
CD28 4
CARD8 39
F11 4
PLEKHM3 5
DOCK3 12
ZFP1 29
UQCC3 2
AVIL 25
FOLR1 3
CPLX1 9
BRPF1 20
TMED10 44
SPHK2 4
ASXL3 1
NDUFA4 218
SMCO4 56
SEPTIN7 28
MMD2 7
CPN1 5
TMEM135 1
TENT5A 47
INO80E 37
KBTBD3 1
ZSCAN23 23
JCAD 2
CACNG7 1
ABHD5 29
PRR35 69
COX7A2 20
TBC1D9 15
SHROOM2 9
PRR5 23
ZIC4 3
C15orf39 15
LIN28B 7
TDG 15
LAMA5 23
PPM1K 32
AP4S1 19
EPB42 6
MID1IP1 11
HSCB 729
RBMY1E 2
SPANXD 2
PPP4R3A 42
ABCB8 18
THAP3 3
NDUFB3 25
HLA-DQB1 2
ATG4A 13
SNRPD3 56
ALG11 6
DNTT 4
PAX1 1
B3GNT2 22
MID1 52
HMOX2 86
CSRNP2 3
DIRAS2 12
DHX40 15
PSMD7 70
THUMPD2 3
FAM9B 131
CISH 7
RPL23A 69
COMMD4 29
LRFN1 16
KRT79 25
ERICH4 2
SNX14 16
DUSP5 2
UBE4A 28
GRB7 42
ATP1B2 3
ARHGDIA 44
FAAP20 29
FASTKD1 20
NBN 44
CD7 3
TMEM63A 40
FAIM2 3
NUCKS1 7
LZTS1 97
SHFL 61
TRMT112 29
ZNF106 29
MRPS35 67
CCR7 2
FAM169A 7
ZNF600 2
CXCR1 3
FKTN 3
TTC21B 13
RNF217 3
TMEM45A 8
PARP4 7
GML 24
CD200R1L 1
CCR5 10
PINK1 14
HMGA1 46
RAD54L2 38
NIBAN3 2
RRAGB 24
SPATA19 5
PLAAT5 5
AVEN 3
PACSIN1 45
LIN7B 15
TATDN1 2
HELZ2 6
SERPINA7 3
LUZP4 19
INTS13 11
TNS4 20
PCYT2 11
IKZF2 10
ZNF460 31
UBA1 41
NAALAD2 7
HTR3D 4
YJEFN3 1
TSPAN15 60
CLDN23 1
KLHDC1 2
PSKH2 8
FAM184A 12
APOC1 28
SLC30A5 22
MBTD1 29
FBXO16 6
GUCY1A2 8
ARHGAP39 12
MAPRE1 140
NTN1 7
TRAF6 374
GSE1 38
RAB8B 23
MCUR1 4
APEX2 14
INTS6 24
CAAP1 10
BTG1 10
SIPA1 16
LXN 33
BFSP1 15
SKIL 80
YWHAZ 591
SAMHD1 40
FAH 9
MTIF2 37
GIP 8
USP49 47
PHACTR1 2
GLRB 11
PLEKHF2 149
GET3 47
KRT86 45
MAFK 4
PGRMC2 72
FERMT1 9
CFI 1
U2SURP 38
DTNA 25
FAM216A 1
GHITM 54
TBP 57
UPK1B 48
FXYD7 2
DUSP15 21
MYO3B 4
HNRNPC 97
FBXO11 52
EML2 7
KIF26B 12
C10orf88 28
NUDT12 13
EIF2AK3 38
ZNF823 1
CACNB2 8
CFAP92 1
RRM2 23
REXO5 10
RPS26 31
DDIT3 42
SFTPC 44
ZNF646 12
DNAJC9 27
PARM1 1
CCDC22 67
PDE4D 15
SNAP91 10
PIP4P2 10
CST2 22
SNX33 29
WASF1 39
CROCC 19
FMN2 11
RBM4 142
BEST3 1
PCDH10 12
PAG1 36
TREM1 3
CYP19A1 5
CAPN8 4
ILVBL 33
NEK3 7
PRSS48 1
ZFYVE27 44
CTAGE1 1
ABCB10 17
ACCS 4
MCUB 9
IAH1 4
RUFY1 36
DEGS1 28
CAVIN3 28
TTC23 105
SPACA1 69
DDX59 1
OGFOD2 3
FADS2 8
PCMTD2 7
RGS10 4
H2BC12 12
ADAM2 7
PPIL3 11
RABGEF1 66
TMEM74 5
C16orf74 2
SCAP 7
OSBPL5 17
PPP2CB 125
TCP10L 61
PLXDC2 24
DNAJC17 3
ZWINT 89
SMPD1 9
MASTL 21
CHRNA9 46
MRPL24 30
RAB38 1
ZBTB5 14
IPO8 56
CCDC181 1
BYSL 172
SRCAP 31
PSMA5 37
UTS2 3
PPP3R2 13
FGF6 1
CSTB 14
HES6 6
GATA6 2
DDX6 114
SIGLEC5 23
RFLNA 1
MPRIP 59
SHOX2 1
SPATS2 20
OLR1 6
THNSL1 22
MSL2 10
WDR70 10
VEZF1 61
CCL18 9
OSM 8
EIF2AK4 25
WDR45 17
WNT11 20
SQLE 15
TNFSF11 25
YBX1 267
FDXACB1 8
ZIC2 3
KLHDC9 6
EFR3B 8
GEMIN8 18
ZNF35 30
SNTG2 13
ADAMTS9 1
RFPL1 1
ZNF22 22
GPR158 2
SH3BP4 43
SCO1 113
FARS2 85
MIS18A 70
ZNF100 5
TMED2 40
TMEM181 2
ABCD4 13
TMEM121 13
KATNA1 46
MPDZ 30
GCSAML 7
UHRF1BP1L 15
GDAP2 3
CRELD2 36
CORO1A 33
SETX 46
COL4A2 22
MAGEA6 105
CACHD1 12
EHMT2 90
CCDC91 13
MTA3 53
ARL2BP 6
LRWD1 33
NUP98 49
SFMBT1 26
RUVBL2 153
MIER1 17
TMC7 4
GPD1 7
DHRSX 18
ANXA8 5
UGGT1 38
L3MBTL1 86
NAP1L3 7
SREBF1 14
RNF168 26
EFNB3 25
PSG6 1
ARNT2 10
TNNC1 1
TBC1D9B 22
SLC25A39 2
HTR2C 117
TRIM42 136
STOM 152
STX6 65
NOL10 19
USP31 1
ARL13B 136
ST6GALNAC3 13
PSMD5 35
PRRT2 15
SPATA17 1
TVP23A 3
TIMM22 6
ZNF77 9
SENP1 15
ADGRL2 12
ZNF140 5
CLMN 4
ZNF660 5
SMCHD1 18
OR3A2 1
ZNF764 56
BCL6B 22
HHIP 4
NEFL 52
RGS8 8
ITGAV 28
RENBP 2
SPAG4 26
TTC16 1
SND1 32
CHRM4 74
OASL 105
MEF2C 22
CAPZA2 228
PAAF1 24
RNF144B 8
ZNF142 6
ITGAM 38
APOL3 25
PSMB4 71
ODF4 21
JMJD7-PLA2G4B 3
CELA2B 15
CAMK1 15
SLC33A1 55
P4HTM 3
OGG1 4
DPY30 73
TIMM50 92
FAM89A 1
SYT3 10
KRTAP19-1 40
FYB2 1
CTDP1 17
CCDC68 13
ZNF254 7
NEUROD2 2
C10orf90 1
ST6GALNAC2 1
C16orf87 21
OXER1 39
PTBP3 278
PPP2R3A 18
LURAP1L 12
REL 313
TMF1 18
SLC18A3 3
CTBP2 89
COL6A3 6
RBM6 19
SLC39A8 27
VSX2 12
LY6G6C 9
GRIK5 4
ABHD4 15
SYBU 18
UBE2D2 102
ROCK1 23
TUBA3E 18
AHSA1 44
MAEL 1
SLC12A6 17
TRIP4 7
NPR1 4
DPP6 3
GJB4 10
XRCC6 169
CCDC80 6
PLCB3 9
RPP21 11
ADRA1B 10
VAV3 11
PIGW 8
ATOX1 6
FADS6 19
SNRNP200 97
TUBB2A 75
MUS81 13
STK39 17
ODR4 4
CDS1 18
RAD54B 24
EID2 6
ZSCAN1 17
KRTAP13-4 7
INF2 30
LIG1 6
C8orf33 66
TMEM97 68
TTC3 24
CYP24A1 4
ABL1 208
PABPC1 119
SLC39A13 7
ATAD1 17
ESYT3 4
CHRNB4 2
ZFP36 12
APOC2 2
ADAMTS4 23
ZNF320 2
ZZZ3 30
GRK4 2
BIN1 69
GPR135 3
CYP2C19 1
USP28 14
NIFK 77
RNF208 17
ZFP57 8
LRP11 15
EDA2R 19
PNPLA6 17
PRKN 117
CSRNP1 9
AK2 26
FAM187B 10
DNASE2B 20
CHMP3 25
ST6GALNAC4 2
TMEM266 11
ZNF382 1
TRAPPC6B 13
H2AW 7
HRH1 14
SMG7 25
DOT1L 22
AMPH 25
RNF169 44
PRSS3 8
ADGRB1 8
PTPRM 2
CAMP 1
RPS6KA6 30
HMGCL 9
KCNMA1 4
ZNF536 3
TMED3 9
PARD3 47
SUPT16H 81
RBM12 23
GLRX5 17
MYO6 55
NABP2 20
SYTL3 3
PROZ 31
AKNAD1 4
IGDCC4 3
COX5A 45
ATP1B1 21
IFT52 21
EPHA8 6
EBPL 1
SYP 59
ARPC5 35
WBP1L 3
ZNF83 4
INPP5B 12
SMIM2 2
TMEM54 18
SPP1 11
VEGFC 3
MYDGF 21
CHST11 3
TMEM44 6
RNGTT 12
UBE2N 75
RIC8A 34
UBTF 34
RBM18 6
AP3D1 37
CEACAM3 4
SEC63 28
OIP5 148
CYP1A1 48
MBTPS2 2
GPR63 1
CSN1S1 14
GAGE2E 1
ABTB1 9
ILRUN 2
SYCP3 6
ZNF223 26
MTHFD2L 7
GLUD2 11
SYT1 41
HEATR1 34
DDI2 9
HDAC5 31
COX17 17
ERICH5 21
MNDA 159
FHIT 9
ZNF596 1
TMEM259 14
RAB4B 21
SEMA3F 2
LRGUK 2
USP15 78
TSPAN12 35
ARPP19 3
IMP4 14
AKR1B10 11
CCT8 120
NSFL1C 25
AQP8 6
SAPCD2 20
SMG9 50
BSND 22
PPARG 42
GORAB 55
PSMD10 43
CBLL2 13
DOC2A 8
BCL6 116
CHSY1 13
ZNF226 1
JPT1 5
TRAPPC3 25
RHOT1 15
TGFB2 1
GABRD 17
TRMT6 19
LACRT 32
ZNF554 3
TRIM54 263
KRTCAP2 10
ATP6V1C2 28
BORCS7 4
BBS4 47
C3orf56 1
UGT3A2 6
CD79A 192
RBM17 46
CPLANE1 5
HPS3 4
XKR7 1
C22orf15 12
MPND 2
SPCS2 29
FLNC 66
BUD23 7
B9D1 21
TCF7L2 127
PRMT7 18
ATP23 36
POU3F2 7
RNF213 35
ARMC10 6
MAPK4 9
GAL3ST2 1
ARPIN 8
TTC31 3
PAK5 78
S1PR4 3
DNASE1L1 6
GABARAPL2 551
DDX18 38
KIAA1671 43
SP2 8
FOXD2 18
CTRC 14
ULK1 43
INO80C 16
OSBPL8 27
LY6H 3
CEP170B 20
MED15 40
MYO1C 172
CLEC12B 11
FRS2 7
SH3BP2 16
TIGIT 7
TAL1 27
NDUFS7 87
AMPD3 5
