bait_uniprot	bait_symbol	bait_usage
A1L4H1	SSC5D	3
A1L4K1	FSD2	2
A1L4L9	NA	1
A1X283	SH3PXD2B	1
A1XBS5	CIBAR1	3
A2A2V5	SERTM1	1
A2A2Y4	FRMD3	2
A2A3K4	PTPDC1	4
A2A3R6	RPS6	1
A2BDD9	NA	1
A2BDE7	NA	1
A2IDD5	CCDC78	1
A2RRC6	NA	1
A2RRC9	NA	1
A2RRD8	ZNF320	1
A2RRG2	NA	1
A2RRH5	WDR27	2
A2RRL7	TMEM213	1
A2RRL9	NA	1
A2RRP1	NBAS	3
A2RTX5	TARS3	2
A2RU14	TMEM218	2
A2RU30	TESPA1	2
A2RU48	SMCO3	2
A2RU67	FAM234B	1
A2RU80	NA	1
A2RUC4	TYW5	1
A2RUH7	MYBPHL	2
A2RUQ5	TMEM132E-DT	1
A2RUT3	TMEM89	1
A2RUU4	CLPSL1	1
A2VCK2	DCDC2B	3
A2VDF0	FUOM	1
A4D0P7	ORC5	1
A4D0Q3	ATXN7L1	1
A4D161	FAM221A	2
A4D1B5	GSAP	1
A4D1E9	GTPBP10	2
A4D1I3	NA	1
A4D1P6	WDR91	2
A4D1S0	KLRG2	1
A4D1S5	RAB19	1
A4D1T9	PRSS37	1
A4D1W7	INHBA	1
A4D2B0	MBLAC1	1
A4D2J0	YKT6	1
A4D2J9	CAMK2B	1
A4D2P6	GRID2IP	1
A4FTV9	H2AC16	1
A4FU01	MTMR11	1
A4FU49	SH3D21	1
A4FVC0	NA	1
A4PIV7	NA	1
A4PIV8	NA	1
A4PIV9	NA	1
A4PIW0	NA	1
A4QMS7	C5orf49	1
A4QPB0	NA	1
A4UGR9	XIRP2	1
A5D8T8	CLEC18A	3
A5D8V6	VPS37C	3
A5D8V7	ODAD3	4
A5D8W4	NA	2
A5D903	NA	2
A5PKU2	NA	1
A5PKW4	PSD	2
A5PL33	KRBA1	2
A5PLN9	TRAPPC13	2
A5X5Y0	HTR3E	2
A5YKK6	CNOT1	9
A5YM69	ARHGEF35	1
A5YM72	CARNS1	1
A6H8W8	ITSN2	1
A6H8Z2	FAM221B	2
A6NC98	CCDC88B	1
A6NCF5	KLHL33	2
A6ND01	IZUMO1R	1
A6ND36	FAM83G	1
A6ND48	OR14I1	1
A6ND91	ASPDH	1
A6NDB9	PALM3	1
A6NDG6	PGP	1
A6NDP7	MYADML2	1
A6NE52	WDR97	1
A6NE82	MBD3L3	1
A6NED2	RCCD1	2
A6NEQ0	RBMY1E	1
A6NER0	TBC1D3F	1
A6NFR6	C5orf60	1
A6NFY7	SDHAF1	2
A6NGG8	PCARE	1
A6NGQ2	OOEP	1
A6NH52	TVP23A	1
A6NHC0	CAPN8	1
A6NHJ4	ZNF860	1
A6NHL2	TUBAL3	1
A6NHQ4	EPOP	1
A6NHR9	SMCHD1	1
A6NI15	MSGN1	1
A6NI28	ARHGAP42	1
A6NI72	NCF1B	1
A6NJ78	METTL15	3
A6NJB7	PRR19	2
A6NJL1	ZSCAN5B	1
A6NK59	ASB14	1
A6NK89	RASSF10	2
A6NKB5	PCNX2	1
A6NKF2	ARID3C	1
A6NKM8	SLC35A2	1
A6NLU0	RFPL4A	1
A6NLX3	SPDYE4	1
A6NMK7	CPSF4L	1
A6NMU8	NLGN4Y	1
A6PVS8	LRRIQ3	1
A6ZKI3	RTL8C	2
A7E2Y1	MYH7B	2
A7KAX9	ARHGAP32	6
A7MCY6	TBKBP1	3
A7MD48	SRRM4	1
A8K0Y0	OPCML	1
A8K0Z3	WASHC1	2
A8K251	NA	1
A8K287	SNAP23	1
A8K2B9	NA	1
A8K2M0	PSMC4	1
A8K2R3	NA	1
A8K3C2	NA	1
A8K3Q9	NA	1
A8K4G0	CD300LB	2
A8K571	BMP7	1
A8K5H9	KLHL40	1
A8K660	ADIPOQ	1
A8K7B7	PPP2R1A	1
A8K8P3	SFI1	1
A8K8V0	ZNF785	3
A8K8Y5	NA	1
A8K900	NA	1
A8K932	KIF9	1
A8K940	NA	1
A8K979	ERI2	1
A8K9C1	NA	1
A8KA13	BCL6B	2
A8KA83	NA	1
A8MQ03	CYSRT1	1
A8MRB1	S100B	1
A8MT69	CENPX	2
A8MT70	ZBBX	1
A8MTA8	FAM166B	1
A8MTQ0	NOTO	1
A8MTZ0	BBIP1	2
A8MUH7	PDZK1P1	1
